child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,62.19041775899124,count_register_gender,count_register_race_african,pri_fees_amount,child_age,latitude,teacher_emotional_total,count_staff_gender_female,child_observe_total,count_register_all,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_male,count_register_gender_female,count_register_race
ID_GQ6ONJ4FP,45.981366881853084,count_register_gender,count_register_race_african,pri_fees_amount,child_age,latitude,count_staff_gender_female,teacher_emotional_total,child_observe_total,count_register_all,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_female,count_register_gender_male,count_register_race
ID_YZ76CVRW3,55.177893365239605,count_register_gender,pri_fees_amount,count_register_race_african,child_age,latitude,child_observe_total,count_staff_gender_female,<BIAS>,pri_time_open_hours,count_staff_salary_paid,longitude,count_register_gender_male,count_register_gender_female,count_register_race,pri_fees_amount_pv
ID_BNINCRXH8,71.8516460883446,count_register_gender,count_register_race_african,child_age,count_staff_gender_female,pri_fees_amount,latitude,count_register_all,pri_capacity,teacher_emotional_total,longitude,pri_fees_amount_pv,count_staff_salary_paid,count_register_gender_male,count_register_gender_female,count_register_race
ID_1U7GDTLRI,44.42238062612246,count_register_gender,child_age,latitude,count_register_race_african,count_staff_gender_female,pri_fees_amount,teacher_emotional_total,child_observe_total,count_register_all,count_staff_salary_paid,pri_fees_amount_pv,longitude,count_register_gender_female,count_register_gender_male,count_register_race
ID_HUPM6GALH,67.23731257859365,child_age,latitude,child_observe_total,<BIAS>,ward_best,child_enrollmend_year,child_date_year,ses_proxy,pri_year,child_date_months,child_birth_day,child_birth_month,child_date_days,language_match,longitude
ID_RLC7D66D6,50.8057762483003,count_register_gender,count_register_race_african,child_age,latitude,teacher_emotional_total,child_observe_total,pri_fees_amount,count_staff_gender_female,count_register_all,count_staff_salary_paid,pri_fees_amount_pv,longitude,count_register_gender_female,count_register_gender_male,count_register_race
ID_3IDOXBRX5,44.02450636085459,count_register_gender,count_register_race_african,child_age,latitude,count_staff_gender_female,count_register_all,teacher_emotional_total,child_observe_total,pri_capacity,count_staff_time,longitude,count_staff_salary_paid,count_register_gender_male,count_register_gender_female,count_register_race
ID_5HF27TNFX,49.962317506200776,count_register_gender,count_register_race_african,child_age,latitude,count_staff_gender_female,pri_fees_amount,child_observe_total,count_register_all,count_staff_time,pri_fees_amount_pv,count_staff_salary_paid,longitude,count_register_gender_male,count_register_gender_female,count_register_race
ID_C9RZNXMYF,51.7130038255475,count_register_gender,count_register_race_african,pri_fees_amount,child_age,latitude,teacher_emotional_total,child_observe_total,count_staff_gender_female,teacher_social_total,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_female,count_register_gender_male,count_register_race
