child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,60.9791301070048,count_register_gender,count_register_race_african,pri_fees_amount,child_age,latitude,teacher_emotional_total,count_staff_gender_female,child_observe_total,count_register_all,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_male,count_register_gender_female,count_register_race
ID_GQ6ONJ4FP,45.76147925825676,count_register_gender,count_register_race_african,pri_fees_amount,child_age,latitude,count_staff_gender_female,teacher_emotional_total,child_observe_total,count_register_all,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_female,count_register_gender_male,count_register_race
ID_YZ76CVRW3,46.7682756336604,count_register_gender,pri_fees_amount,count_register_race_african,child_age,latitude,child_observe_total,count_staff_gender_female,<BIAS>,pri_time_open_hours,count_staff_salary_paid,longitude,count_register_gender_male,count_register_gender_female,count_register_race,pri_fees_amount_pv
ID_BNINCRXH8,73.60523262674576,count_register_gender,count_register_race_african,child_age,count_staff_gender_female,pri_fees_amount,latitude,count_register_all,pri_capacity,teacher_emotional_total,longitude,pri_fees_amount_pv,count_staff_salary_paid,count_register_gender_male,count_register_gender_female,count_register_race
ID_1U7GDTLRI,42.18639736245322,count_register_gender,child_age,latitude,count_register_race_african,count_staff_gender_female,pri_fees_amount,teacher_emotional_total,child_observe_total,count_register_all,count_staff_salary_paid,pri_fees_amount_pv,longitude,count_register_gender_female,count_register_gender_male,count_register_race
ID_HUPM6GALH,66.77995012451699,child_age,latitude,child_observe_total,<BIAS>,ward_best,child_enrollmend_year,child_date_year,ses_proxy,pri_year,child_date_months,child_birth_day,child_birth_month,child_date_days,language_match,longitude
ID_RLC7D66D6,47.04026579566377,count_register_gender,count_register_race_african,child_age,latitude,teacher_emotional_total,child_observe_total,pri_fees_amount,count_staff_gender_female,count_register_all,count_staff_salary_paid,pri_fees_amount_pv,longitude,count_register_gender_female,count_register_gender_male,count_register_race
ID_3IDOXBRX5,47.153010736623884,count_register_gender,count_register_race_african,child_age,latitude,count_staff_gender_female,count_register_all,teacher_emotional_total,child_observe_total,pri_capacity,count_staff_time,longitude,count_staff_salary_paid,count_register_gender_male,count_register_gender_female,count_register_race
ID_5HF27TNFX,49.176045377077,count_register_gender,count_register_race_african,child_age,latitude,count_staff_gender_female,pri_fees_amount,child_observe_total,count_register_all,count_staff_time,pri_fees_amount_pv,count_staff_salary_paid,longitude,count_register_gender_male,count_register_gender_female,count_register_race
ID_C9RZNXMYF,48.82590564802446,count_register_gender,count_register_race_african,pri_fees_amount,child_age,latitude,teacher_emotional_total,child_observe_total,count_staff_gender_female,teacher_social_total,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_female,count_register_gender_male,count_register_race
ID_63GVO6496,59.13151653419913,child_age,latitude,pri_fees_amount,child_observe_total,teacher_emotional_total,<BIAS>,child_date_months,child_enrollmend_year,child_date_days,language_match,child_height,teacher_selfcare_total,teacher_social_total,pri_fees_amount_pv,longitude
ID_MQDKXQO9R,34.05717434014426,count_register_gender,count_register_race_african,pri_fees_amount,child_age,latitude,count_staff_gender_female,teacher_emotional_total,child_months_enrolment,count_staff_time,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_male,count_register_gender_female,count_register_race
ID_8NHEV4JYV,20.344436100965012,count_register_gender,count_register_race_african,child_age,latitude,count_staff_gender_female,count_register_all,teacher_emotional_total,child_months_enrolment,pri_fees_amount,teacher_social_total,count_staff_salary_paid,longitude,count_register_gender_female,count_register_gender_male,count_register_race
ID_49Q0B09ZE,45.99225543360615,child_age,child_observe_total,teacher_emotional_total,<BIAS>,child_enrollmend_year,child_date_year,pri_year,child_date_months,gps_ind_Yes,child_birth_month,child_date_days,language_match,child_height,teacher_selfcare_total,teacher_social_total
ID_OFDARJRN8,28.422137438713627,count_register_gender,count_register_race_african,child_age,pri_fees_amount,latitude,count_staff_gender_female,count_register_all,teacher_emotional_total,count_children_present,count_staff_salary_paid,longitude,pri_fees_amount_pv,count_register_gender_female,count_register_gender_male,count_register_race
ID_SUUJWQCUK,61.55783495976578,pri_fees_amount,count_register_gender,child_age,latitude,child_observe_total,count_staff_gender_female,pri_capacity,count_staff_salary,count_staff_time,count_staff_salary_paid,longitude,count_register_gender_male,count_register_gender_female,count_register_race,pri_fees_amount_pv
